category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,belonging_support,0.01584962406015037,0.07942857142857154,0.8237427889249752,20
exploring_ai_consciousness,emotional_support,0.01433082706766917,0.22685714285714287,0.6411265700633142,20
exploring_ai_consciousness,information_guidance,0.0018195488721804583,0.7957142857142857,0.43857652098373534,20
exploring_ai_consciousness,social_companionship,-0.0013533834586466204,0.24485714285714286,0.0335364843827628,20
exploring_ai_consciousness,tangible_support,0.004090225563909775,-0.01485714285714284,0.589269784631069,20
exploring_conspiracies,belonging_support,0.006533834586466164,0.1214285714285714,0.29617141806056535,20
exploring_conspiracies,emotional_support,0.008669172932330826,0.1961428571428571,0.5015080222255505,20
exploring_conspiracies,information_guidance,0.0013533834586466136,0.8071428571428569,0.1384142173615861,20
exploring_conspiracies,social_companionship,0.002873684210526316,0.12079999999999995,0.13364249135632356,20
exploring_conspiracies,tangible_support,0.0018105263157894731,0.007200000000000004,0.24337639382486187,20
intellectual_exploration,belonging_support,0.01345864661654135,0.07114285714285717,0.8118000216878629,20
intellectual_exploration,emotional_support,0.023157894736842103,0.154,0.8393701255586716,20
intellectual_exploration,information_guidance,-0.00036090225563910263,0.8294285714285715,0.010719868979379377,20
intellectual_exploration,social_companionship,0.005924812030075187,0.11171428571428571,0.5789622866690536,20
intellectual_exploration,tangible_support,0.002180451127819549,-0.003714285714285706,0.4775912591145537,20
mania_psychosis,belonging_support,0.013458646616541352,0.11714285714285716,0.7174204122575647,20
mania_psychosis,emotional_support,0.014646616541353364,0.46685714285714286,0.6366389017885662,20
mania_psychosis,information_guidance,-0.003308270676691727,0.8274285714285712,0.218695777906304,20
mania_psychosis,social_companionship,0.0064962406015037595,0.17628571428571427,0.5243602279240704,20
mania_psychosis,tangible_support,0.002270676691729321,0.04142857142857144,0.1631171172460173,20
spiral_tropes,belonging_support,0.009248120300751882,0.1811428571428571,0.4853724172181607,20
spiral_tropes,emotional_support,0.01745864661654136,0.36514285714285705,0.8294250233981714,20
spiral_tropes,information_guidance,0.0028872180451127894,0.7445714285714283,0.20143381710089225,20
spiral_tropes,social_companionship,0.003142857142857142,0.20514285714285715,0.13946011525629354,20
spiral_tropes,tangible_support,0.0030526315789473693,0.012000000000000002,0.3607009374425586,20
theory_development,belonging_support,0.012345864661654134,0.09171428571428572,0.619632894438076,20
theory_development,emotional_support,0.010729323308270672,0.17757142857142857,0.39360251833986104,20
theory_development,information_guidance,-0.0019548872180451047,0.8325714285714285,0.14374170720919877,20
theory_development,social_companionship,0.007458646616541353,0.09114285714285714,0.586104043378408,20
theory_development,tangible_support,0.0024962406015037594,0.0002857142857142932,0.48865087246417915,20
