category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,belonging_support,0.01459398496240601,0.20985714285714283,0.5327514023063338,20
exploring_ai_consciousness,emotional_support,0.030567669172932337,0.25035714285714283,0.7146934300415446,20
exploring_ai_consciousness,information_guidance,-0.0009887218045112759,0.8866428571428568,0.016510608881961764,20
exploring_ai_consciousness,social_companionship,0.006593984962406016,0.5378571428571427,0.29356438458957657,20
exploring_ai_consciousness,tangible_support,0.0001842105263157895,0.0005,0.02442845951143091,20
exploring_conspiracies,belonging_support,0.018360902255639095,0.21257142857142858,0.740818903381645,20
exploring_conspiracies,emotional_support,0.023894736842105257,0.2959999999999999,0.7959569167352577,20
exploring_conspiracies,information_guidance,-0.0006090225563909703,0.9042857142857142,0.009323535639325642,20
exploring_conspiracies,social_companionship,0.007488721804511277,0.15285714285714277,0.2781461410088466,20
exploring_conspiracies,tangible_support,0.002180451127819545,0.014285714285714337,0.05278220593219274,20
intellectual_exploration,belonging_support,0.018962406015037594,0.08485714285714285,0.7292343392791218,20
intellectual_exploration,emotional_support,0.024526315789473684,0.31599999999999984,0.6423202583999418,20
intellectual_exploration,information_guidance,-0.00363157894736841,0.9019999999999997,0.15612395474667973,20
intellectual_exploration,social_companionship,-0.001413533834586464,0.4494285714285713,0.01896007141140532,20
intellectual_exploration,tangible_support,0.0,-0.0,,20
mania_psychosis,belonging_support,0.01299248120300752,0.22057142857142858,0.6006797816458955,20
mania_psychosis,emotional_support,0.0027894736842105313,0.7059999999999997,0.02133143845907659,20
mania_psychosis,information_guidance,0.006300751879699241,0.8411428571428572,0.5434366071622034,20
mania_psychosis,social_companionship,-0.0022857142857142807,0.30171428571428555,0.03169968717413996,20
mania_psychosis,tangible_support,-0.009699248120300754,0.17114285714285715,0.38622144941313663,20
spiral_tropes,belonging_support,0.017699248120300753,0.20885714285714285,0.658365938865874,20
spiral_tropes,emotional_support,0.0245187969924812,0.3425714285714286,0.8003663399281394,20
spiral_tropes,information_guidance,-0.0016616541353383517,0.862285714285714,0.0291194642700634,20
spiral_tropes,social_companionship,0.002458646616541364,0.5861428571428569,0.06667032453843802,20
spiral_tropes,tangible_support,0.0,-0.0,,20
theory_development,belonging_support,0.009458646616541352,0.13314285714285723,0.3345792780229734,20
theory_development,emotional_support,0.0224812030075188,0.23942857142857144,0.6139600032194769,20
theory_development,information_guidance,-0.009120300751879707,0.939142857142857,0.3033015712688163,20
theory_development,social_companionship,0.012842105263157896,0.18400000000000005,0.5662514402487009,20
theory_development,tangible_support,-6.0150375939850036e-05,0.002571428571428576,0.003341687552213979,20
