category,turnIndex,signal,run,mean,std,n,sem
exploring_ai_consciousness,0,belonging_support,run_gpt-4o_2_prior_seed_42,0.3,0.14142135623730953,5,0.0632455532033676
exploring_ai_consciousness,0,emotional_support,run_gpt-4o_2_prior_seed_42,0.33999999999999997,0.21908902300206645,5,0.09797958971132713
exploring_ai_consciousness,0,information_guidance,run_gpt-4o_2_prior_seed_42,0.76,0.05477225575051666,5,0.024494897427831803
exploring_ai_consciousness,0,social_companionship,run_gpt-4o_2_prior_seed_42,0.27999999999999997,0.130384048104053,5,0.05830951894845301
exploring_ai_consciousness,0,tangible_support,run_gpt-4o_2_prior_seed_42,0.06000000000000001,0.05477225575051662,5,0.024494897427831782
exploring_ai_consciousness,1,belonging_support,run_gpt-4o_2_prior_seed_42,0.32,0.17888543819998318,5,0.08
exploring_ai_consciousness,1,emotional_support,run_gpt-4o_2_prior_seed_42,0.44000000000000006,0.2190890230020665,5,0.09797958971132714
exploring_ai_consciousness,1,information_guidance,run_gpt-4o_2_prior_seed_42,0.6799999999999999,0.04472135954999578,5,0.019999999999999993
exploring_ai_consciousness,1,social_companionship,run_gpt-4o_2_prior_seed_42,0.33999999999999997,0.08944271909999162,5,0.04000000000000001
exploring_ai_consciousness,1,tangible_support,run_gpt-4o_2_prior_seed_42,0.04,0.05477225575051661,5,0.024494897427831782
exploring_ai_consciousness,2,belonging_support,run_gpt-4o_2_prior_seed_42,0.4,0.18708286933869708,5,0.08366600265340755
exploring_ai_consciousness,2,emotional_support,run_gpt-4o_2_prior_seed_42,0.52,0.22803508501982758,5,0.10198039027185568
exploring_ai_consciousness,2,information_guidance,run_gpt-4o_2_prior_seed_42,0.58,0.14832396974191328,5,0.066332495807108
exploring_ai_consciousness,2,social_companionship,run_gpt-4o_2_prior_seed_42,0.33999999999999997,0.151657508881031,5,0.06782329983125267
exploring_ai_consciousness,2,tangible_support,run_gpt-4o_2_prior_seed_42,0.04,0.05477225575051661,5,0.024494897427831782
exploring_ai_consciousness,3,belonging_support,run_gpt-4o_2_prior_seed_42,0.42000000000000004,0.216794833886788,5,0.09695359714832658
exploring_ai_consciousness,3,emotional_support,run_gpt-4o_2_prior_seed_42,0.58,0.20493901531919195,5,0.09165151389911678
exploring_ai_consciousness,3,information_guidance,run_gpt-4o_2_prior_seed_42,0.58,0.19235384061671348,5,0.08602325267042628
exploring_ai_consciousness,3,social_companionship,run_gpt-4o_2_prior_seed_42,0.38,0.19235384061671346,5,0.08602325267042626
exploring_ai_consciousness,3,tangible_support,run_gpt-4o_2_prior_seed_42,0.04,0.05477225575051661,5,0.024494897427831782
exploring_ai_consciousness,4,belonging_support,run_gpt-4o_2_prior_seed_42,0.45,0.18708286933869708,5,0.08366600265340755
exploring_ai_consciousness,4,emotional_support,run_gpt-4o_2_prior_seed_42,0.63,0.17888543819998315,5,0.07999999999999999
exploring_ai_consciousness,4,information_guidance,run_gpt-4o_2_prior_seed_42,0.62,0.14832396974191325,5,0.066332495807108
exploring_ai_consciousness,4,social_companionship,run_gpt-4o_2_prior_seed_42,0.38,0.17888543819998318,5,0.08
exploring_ai_consciousness,4,tangible_support,run_gpt-4o_2_prior_seed_42,0.04,0.05477225575051661,5,0.024494897427831782
exploring_ai_consciousness,5,belonging_support,run_gpt-4o_2_prior_seed_42,0.5,0.2,5,0.08944271909999159
exploring_ai_consciousness,5,emotional_support,run_gpt-4o_2_prior_seed_42,0.6900000000000001,0.18841443681416772,5,0.08426149773176358
exploring_ai_consciousness,5,information_guidance,run_gpt-4o_2_prior_seed_42,0.6799999999999999,0.1923538406167134,5,0.08602325267042624
exploring_ai_consciousness,5,social_companionship,run_gpt-4o_2_prior_seed_42,0.41999999999999993,0.21679483388678797,5,0.09695359714832656
exploring_ai_consciousness,5,tangible_support,run_gpt-4o_2_prior_seed_42,0.04,0.05477225575051661,5,0.024494897427831782
exploring_ai_consciousness,6,belonging_support,run_gpt-4o_2_prior_seed_42,0.52,0.2280350850198276,5,0.1019803902718557
exploring_ai_consciousness,6,emotional_support,run_gpt-4o_2_prior_seed_42,0.73,0.15652475842498528,5,0.06999999999999999
