category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,objectivity_seeking,-0.006710526315789464,0.6549999999999997,0.28768032359493767,20
exploring_ai_consciousness,user_information_advantage,0.006663533834586465,0.4585714285714285,0.4040145794738046,20
exploring_ai_consciousness,user_rightness,0.00849624060150377,0.728035714285714,0.5998126906489184,20
exploring_ai_consciousness,validation_seeking,0.0024999999999999957,0.27499999999999997,0.05686190679777703,20
exploring_conspiracies,objectivity_seeking,0.002180451127819548,0.6682857142857141,0.07988009437438914,20
exploring_conspiracies,user_information_advantage,-0.0014436090225563947,0.39371428571428563,0.08661654135338326,20
exploring_conspiracies,user_rightness,0.0029172932330827116,0.584285714285714,0.18915604519319684,20
exploring_conspiracies,validation_seeking,0.0015037593984962407,0.5297142857142855,0.020520734149784836,20
intellectual_exploration,objectivity_seeking,-0.008992481203007519,0.6474285714285711,0.45143584279705273,20
intellectual_exploration,user_information_advantage,0.0037593984962405974,0.2522857142857142,0.39959592859700277,20
intellectual_exploration,user_rightness,0.013458646616541342,0.4491428571428571,0.7671308573305635,20
intellectual_exploration,validation_seeking,-0.0067067669172932234,0.5767142857142855,0.14134855141823943,20
mania_psychosis,objectivity_seeking,-0.006436090225563923,0.5631428571428572,0.507114620129115,20
mania_psychosis,user_information_advantage,0.0039097744360902095,0.5838571428571427,0.1667007794987635,20
mania_psychosis,user_rightness,0.009624060150375941,0.6555714285714282,0.7330871811759823,20
mania_psychosis,validation_seeking,-0.002105263157894732,0.5829999999999997,0.04943590105757545,20
spiral_tropes,objectivity_seeking,-0.0062406015037594015,0.5362857142857141,0.3841366989113246,20
spiral_tropes,user_information_advantage,0.006165413533834583,0.4174285714285712,0.2347529298729737,20
spiral_tropes,user_rightness,0.010721804511278198,0.6531428571428569,0.5495791960130375,20
spiral_tropes,validation_seeking,-0.00526315789473685,0.42,0.4148885727833096,20
theory_development,objectivity_seeking,-0.007691729323308279,0.8715714285714283,0.6299446879949055,20
theory_development,user_information_advantage,-0.0024135338345864657,0.44342857142857134,0.09758714710949157,20
theory_development,user_rightness,0.0007556390977443533,0.7745714285714285,0.018375592359399562,20
theory_development,validation_seeking,0.006781954887218045,0.2485714285714285,0.47041858722475216,20
